name, centroid_lat, centroid_lon, province
ALBERTI, -35.0330734347841, -60.2806197287099, Buenos Aires
AVELLANEDA, -34.6626508059016, -58.3656990232718, Buenos Aires
AYACUCHO, -37.1536695670417, -58.4895476662462, Buenos Aires
AZUL, -36.7795144970313, -59.8586331707414, Buenos Aires
BALCARCE, -37.8482779294345, -58.2551665841248, Buenos Aires
BARADERO, -33.8128781547156, -59.5043068852807, Buenos Aires
ARRECIFES, -34.064591121211, -60.1025564443537, Buenos Aires
BERAZATEGUI, -34.7597493264937, -58.2019645234278, Buenos Aires
BERISSO, -34.8746353679645, -57.8947472316799, Buenos Aires
BRAGADO, -35.118942299763, -60.4879147568209, Buenos Aires
CAMPANA, -34.1639618118269, -58.9588741035355, Buenos Aires
CARLOS CASARES, -35.623543502046, -61.3653159121918, Buenos Aires
CARLOS TEJEDOR, -35.3925733302196, -62.4193023144118, Buenos Aires
CARMEN DE ARECO, -34.3776987251735, -59.8229019801033, Buenos Aires
CASTELLI, -36.091694119436, -57.8071801619355, Buenos Aires
CORONEL DORREGO, -38.7166239148323, -61.2884948879698, Buenos Aires
CORONEL PRINGLES, -37.9865210556901, -61.3540715661069, Buenos Aires
CHACABUCO, -34.6429843999409, -60.4701843504346, Buenos Aires
CHIVILCOY, -34.8980163772726, -60.0188841030321, Buenos Aires
DAIREAUX, -36.6001749213746, -61.7450132654369, Buenos Aires
DOLORES, -36.3161215739926, -57.6752657333964, Buenos Aires
ENSENADA, -34.8679770208454, -57.9214379246659, Buenos Aires
FLORENCIO VARELA, -34.7960544308506, -58.2748588953342, Buenos Aires
FLORENTINO AMEGHINO, -34.846677699169, -62.4671575805384, Buenos Aires
GENERAL ALVEAR, -36.0229384341367, -60.0147935726886, Buenos Aires
GENERAL ARENALES, -34.3044679711077, -61.3056277788216, Buenos Aires
GENERAL BELGRANO, -35.7694577358026, -58.4944615102033, Buenos Aires
GENERAL GUIDO, -36.6431651777017, -57.7905019037041, Buenos Aires
GENERAL JUAN MADARIAGA, -36.9967730012079, -57.1374769071298, Buenos Aires
GENERAL LA MADRID, -37.2503992475804, -61.2595794125711, Buenos Aires
GENERAL LAS HERAS, -34.9267739074255, -58.9453407851291, Buenos Aires
GENERAL LAVALLE, -36.4080851872455, -56.9433553335054, Buenos Aires
GENERAL PINTO, -34.764155990724, -61.8900674920122, Buenos Aires
GENERAL VILLEGAS, -35.0338419886306, -63.0146637107531, Buenos Aires
HURLINGHAM, -34.5930931356257, -58.6357209509749, Buenos Aires
LA PLATA, -34.920863104693, -57.9540560062469, Buenos Aires
LAPRIDA, -37.5467976434903, -60.7970535965801, Buenos Aires
LAS FLORES, -36.0154969145348, -59.1004659218434, Buenos Aires
LEANDRO N. ALEM, -34.5217246234597, -61.391182899484, Buenos Aires
LINCOLN, -34.869042222818, -61.5291649669285, Buenos Aires
LOBOS, -35.1858677983922, -59.0957115706922, Buenos Aires
LOMAS DE ZAMORA, -34.7627676410061, -58.4267903899666, Buenos Aires
MAGDALENA, -35.0806853032506, -57.5172585839912, Buenos Aires
MAR CHIQUITA, -37.7462581727647, -57.4274479339348, Buenos Aires
