acronym,name,site
UNPSJB,Universidad Nacional de la Patagonia San Juan Bosco,http://www.unp.edu.ar/
UTN,Universidad Tecnologica Nacional,https://www.utn.edu.ar/es/
UDC,Universidad del Chubut,http://www.udc.edu.ar/
ISFD816,Instituto de Educacion Superior 816 Rawson,https://isfd816-chu.infd.edu.ar/sitio/
ISFD807,Instituto Superior de Formacion Docente 807 Perito Moreno,https://isfd807-chu.infd.edu.ar/sitio/
ISFD801,Instituto Superior de Formacion Docente 801 Juana Manso,https://isfd801-chu.infd.edu.ar/sitio/
CET,Centro de Estudios Trelew,http://www.cet.edu.ar/
IDES,Instituto de Estudios Superiores,https://idestrelew.edu.ar/
ISSM,Instituto Superior San Martin,http://issm.com.ar/
IPCS,Instituto Patagonico de Ciencias Sociales,http://ipcs.edu.ar/web/
ISGH,Instituto Superior de Gastronomia y Hoteleria,http://isghpatagonia.com.ar/
ISET812,Instituto Superior de Educacion Tecnologica,https://sites.google.com/isettrelew.com/iset/inicio
