name, full_name, centroid_lat, centroid_lon
Misiones, Provincia de Misiones, -26.8753965086829, -54.6516966230371
San Luis, Provincia de San Luis, -33.7577257449137,-66.0281298195836
San Juan, Provincia de San Juan, -30.8653679979618,-68.8894908486844
Entre Rios, Provincia de Entre Rios,-32.0588735436448,-59.2014475514635
Santa Cruz, Provincia de Santa Cruz, -48.8154851827063, -69.9557621671973
Rio Negro, Provincia de Rio Negro, -40.4057957178801, -67.229329893694
Chubut, Provincia del Chubut, -43.7886233529878, -68.5267593943345
Cordoba, Provincia de Cordoba, -32.142932663607, -63.8017532741662
Mendoza, Provincia de Mendoza, -34.6298873058957, -68.5831228183798,
La Rioja, Provincia de La Rioja, -29.685776298315, -67.1817359694432
Catamarca, Provincia de Catamarca, -27.3358332810217, -66.9476824299928
La Pampa, Provincia de La Pampa, -37.1315537735949, -65.4466546606951
Santiago del Estero, Provincia de Santiago del Estero, -27.7824116550944,-63.2523866568588
Corrientes, Provincia de Corrientes, -28.7743047046407, -57.8012191977913
Santa Fe, Provincia de Santa Fe, -30.7069271588117,-60.9498369430241
Tucuman, Provincia de Tucuman, -26.9478001830786, -65.3647579441481
Neuquen, Provincia del Neuquen, -38.6417575824599, -70.1185705180601
Salta, Provincia de Salta, -24.2991344492002, -64.8144629600627
Chaco, Provincia del Chaco, -26.3864309061226, -60.7658307438603
Formosa, Provincia de Formosa, -24.894972594871, -59.9324405800872
Jujuy, Provincia de Jujuy, -23.3200784211351, -65.7642522180337
Ciudad Autonoma de Buenos Aires, Ciudad Autonoma de Buenos Aires, -34.6144934119689, -58.4458563545429
Buenos Aires, Provincia de Buenos Aires, -36.6769415180527, -60.5588319815719
Tierra del Fuego Antartida e Islas del Atlantico Sur, Provincia de Tierra del Fuego Antartida e Islas del Atlantico Sur, -82.52151781221, -50.7427486049785
